Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шведченко,Мартин,Максимович,male,2005-12-31,Кадровий менеджер,місто Баранівка,"проспект Коцюбинського, буд. 9 кв. 675, Дунаївці, 88345",+380 (38) 318-70-59,martyndeisun@example.net
Козак,Варфоломій,Андрійович,male,1982-02-03,Менеджер з продукту,місто Чорноморськ,"площа Трамвайний, буд. 233, Мала Виска, 18711",004 424-10-39,mykyta44@example.com
Гриценко,Олесь,Олексійович,male,1999-03-28,Менеджер з продажу,село Сміла,"провулок Аеродромний 1-й, буд. 8, Старий Крим, 80205",+380 08 410-34-09,violetta50@example.net
Бабко,Орхип,Ярославович,male,1993-05-19,Кадровий менеджер,хутір Долина ,"проспект Деревообробний 3-й, буд. 685 кв. 578, Гола Пристань, 07764",+380 53 441-75-99,hennadiizhuk@example.net
Бандера,Гордій,Костянтинович,male,1997-08-19,Копірайтер,місто Кодима,"шосе М’ясоєдовська, буд. 56, Кадіївка, 94012",+380 76 532-79-69,boryspylypenko@example.org
Дашенко,Павло,Олександрович,male,1953-02-15,Кадровий менеджер,хутір Звенигородка,"узвіз Чехова, буд. 38 кв. 06, Липовець, 08515",003 720-45-54,stanislav16@example.org
Яковенко,Михайло,Васильович,male,1954-06-29,Програміст,село Сулимівка (Слов'янськ),"площа Прирейкова, буд. 83, Олевськ, 14123",+380 90 463-70-63,xbazavluchenko@example.com
Ґжицький,Марія,Олексіївна,female,2006-06-17,Менеджер з продукту,хутір Новомосковськ,"провулок Сибірська, буд. 4, Долина , 88236",423-39-09,edytapelekh@example.com
Аврамчук,Георгій,Назарович,male,1984-11-24,Тестувальник,селище Миколаїв,"парк Лінія 35-та, буд. 365 кв. 8, Полтава, 63785",988-11-07,nzabila@example.org
Акименко,Богодар,Іванович,male,1945-10-19,Асистент керівника,хутір Тернопіль,"узвіз Софіївська, буд. 219 кв. 985, Ніжин, 83366",+380 79 171 48 01,panchukedyta@example.net
Дахно,Альбіна,Денисівна,female,2005-08-21,Офіс-менеджер,селище Тетіїв,"парк Чернігівська, буд. 225 кв. 6, Обухів, 35916",000 123 06 79,iustym65@example.org
Негода,Оксенія,Євгенівна,female,1961-10-06,Бухгалтер,місто Лутугине,"вулиця Нафтовиків 1-й, буд. 05 кв. 88, Хмельницький, 40446",+380 64 538 30 13,hbaidak@example.org
Яремчук,Августин,Зеновійович,male,1952-06-08,Дизайнер,місто Знам'янка,"проспект Залізнична, буд. 3 кв. 532, Чугуїв, 74967",526-09-84,irenabezditko@example.com
Лагода,Мирон,Євгенович,male,1985-08-10,Програміст,хутір Моспине,"узвіз Молодіжна, буд. 5 кв. 132, Каховка, 36735",+380 68 321-04-58,iakiv71@example.org
Дейнеко,Борис,Петрович,male,1984-09-12,Офіс-менеджер,місто Березне,"парк Штабний, буд. 19, Роздільна, 94342",486 44 45,volodymyra13@example.org
Артюшенко,Вікторія,Федорівна,female,1941-06-26,Архітектор,село Вишневе ,"провулок Суднобудівний, буд. 8, Моспине, 11964",035 883-17-84,martyn01@example.com
Масоха,Степан,Петрович,male,1942-05-19,Офіс-менеджер,село Буринь,"узвіз Висоцького, буд. 564 кв. 507, Іллінці, 92622",159 06 38,dzyndraoleksandr@example.org
Романенко,Пріска,Павлівна,female,2004-02-18,Дизайнер,хутір Нова Одеса,"узвіз Шевченка, буд. 9 кв. 64, Очаків, 71180",+380 51 018-25-05,asymonenko@example.com
Рябченко,Веніямин,Тимофійович,male,1945-11-27,Архітектор,хутір Красноград,"вулиця Героїв оборони Одеси, буд. 162, Гребінка, 23836",094 430-42-75,valentyn12@example.com
Вдовиченко,Анастасія,Тимофіївна,female,1995-09-17,Бухгалтер,село Ізяслав,"вулиця Нафтовиків 3-й, буд. 8, Берестечко, 27926",025 444 05 88,otverdokhlib@example.org
Ірванець,Олег,Давидович,male,1988-04-24,Асистент керівника,хутір Перевальськ,"сквер Людмили Гінзбург, буд. 50 кв. 139, Керч, 42209",002-98-99,makar17@example.com
Аврамчук,Антон,Тарасович,male,1952-06-13,Тестувальник,місто Тячів,"узвіз Сміливий, буд. 5 кв. 26, Горішні Плавні, 35034",013 949-91-69,valentynkhudiak@example.org
Устенко,Варфоломій,Федорович,male,1960-07-27,Аудитор,хутір Перещепине,"вулиця Пiвденний, буд. 21, Енергодар, 85388",+380 24 459-68-56,iaryna23@example.org
Шаповал,Артем,Павлович,male,1971-12-20,Асистент керівника,місто Канів,"провулок Шишкіна, буд. 39 кв. 475, Івано-Франківськ, 97856",574-39-02,anzhela57@example.net
Дубина,Володимира,Тарасівна,female,1987-02-25,Менеджер з продажу,село Свалява,"площа Училищна, буд. 48, Рава-Руська, 44794",001 631-84-69,tymofii97@example.net
Медведенко,Дарина,Назарівна,female,1999-10-19,Програміст,селище Білгород-Дністровський,"площа Шота Руставелі, буд. 7 кв. 6, Шумськ, 76642",+380 28 373-90-05,stanislavbaranyk@example.net
Ярема,Ярослава,Костянтинівна,female,1968-10-18,Менеджер з закупівель,селище Путивль,"шосе 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 9 кв. 3, Коломия, 77134",+380 87 386-68-12,avhustyn12@example.org
Акименко,Остап,Андрійович,male,1971-02-21,HR-менеджер,село Надвірна,"провулок Мечникова, буд. 689 кв. 88, Подільськ, 83932",+380 27 138 12 37,liliia89@example.net
Щербак,Дан,Костянтинович,male,1951-10-05,Аудитор,місто Зоринськ,"проспект Закарпатська, буд. 73, Богодухів, 45146",+380 16 693-63-66,ieroshenkotymofii@example.org
Швайка,Еріка,Андріївна,female,1952-02-18,Аудитор,хутір Харків,"площа Олександра Невського, буд. 56, Херсон, 74793",093 329 48 16,zavramchuk@example.net
Лубенець,Омелян,Петрович,male,1950-06-02,Менеджер з продукту,село Євпаторія,"вулиця Ліверпульський, буд. 03, Вишгород, 44157",026 551 36 39,jlysenko@example.net
Іщенко,Єлисей,Михайлович,male,1983-06-21,Менеджер з маркетингу,місто Скадовськ,"проспект Регенсбург, буд. 6 кв. 236, Зимогір'я, 72447",+380 00 512-10-64,heorhiizaporozhets@example.com
Забара,Назар,Андрійович,male,1998-08-02,Архітектор,село Чигирин,"проспект Прохоровський, буд. 43, Перемишляни, 47959",042 129 08 12,jusyk@example.net
Баклан,Григорій,Давидович,male,1966-09-29,HR-менеджер,селище Алмазна,"парк Молодіжна, буд. 966, Вінниця, 19425",+380 35 330-99-06,vasylynaavramenko@example.com
Саченко,Сніжана,Зеновіївна,female,1951-02-08,Інженер з якості,хутір Заставна,"проспект Лавкова, буд. 172, Українськ, 38730",+380 (60) 094-99-27,edyta70@example.net
Примаченко,Степан,Зеновійович,male,1953-10-02,Дизайнер,місто Чуднів,"провулок Василя Стуса, буд. 3 кв. 673, Бориспіль, 38066",499-77-39,onysymbaran@example.org
Литвиненко,Лукʼян,Євгенович,male,1980-01-05,HR-менеджер,селище Коломия,"узвіз Градоначальницька, буд. 784, Білопілля, 64464",036-30-76,kzaiets@example.org
Гаврилюк,Роксолана,Костянтинівна,female,1963-02-20,Дизайнер,село Миколаївка ,"сквер Космонавта Комарова, буд. 58 кв. 2, Миколаїв, 72141",769-43-22,spas03@example.net
Базавлученко,Клавдія,Станіславівна,female,1959-12-14,Аналітик даних,селище Марганець ,"набережна Патріотична, буд. 729, Світлодарськ, 53486",815 92 25,bezborodkospas@example.net
Шиян,Ростислав,Федорович,male,1938-07-13,Фінансовий аналітик,хутір Радомишль,"провулок Ляпідевського, буд. 823 кв. 26, Петрово-Красносілля, 13669",665 76 07,orysia24@example.com
Оніщук,Дан,Андрійович,male,1964-04-21,Менеджер з закупівель,місто Сколе,"площа Метрополітенівський, буд. 01 кв. 426, Зборів, 06658",+380 02 281-89-90,vasylynakalenychenko@example.org
Дрозд,Олена,Юріївна,female,2004-11-12,Системний адміністратор,село Перевальськ,"проспект Митна, буд. 982, Миргород, 58654",+380 (12) 790-36-66,mykhailo06@example.net
Жаліло,Стефан,Олександрович,male,2007-02-17,Кадровий менеджер,село Буськ,"сквер Василя Кандинського 4-й, буд. 95, Каховка, 55537",+380 (11) 998-92-59,oievtushenko@example.org
Венгринович,Богдан,Андрійович,male,1994-05-20,Дизайнер,місто Коломия,"шосе Восьмого березня узвіз, буд. 7 кв. 6, Зоринськ, 79909",259-04-00,uarkhymovych@example.org
Єрьоменко,Марина,Костянтинівна,female,1979-04-28,Менеджер з продукту,хутір Дружківка,"вулиця Скляний 1-й, буд. 2, Бровари, 13977",+380 38 699 48 21,radchenkoviktoriia@example.org
Канівець,Стефан,Тимофійович,male,2003-09-13,Менеджер з закупівель,місто Сімферополь,"шосе Райдужна, буд. 96, Яремче, 87841",+380 09 808-44-99,gerusalina@example.org
Ґалаґан,Анжела,Федорівна,female,1982-12-07,Інженер з якості,селище Мар'їнка,"парк Офіцерський 1-й, буд. 39 кв. 8, Олександрівськ, 15148",+380 95 588-17-59,ielyseivanchenko@example.com
Бандура,Климент,Павлович,male,1953-02-19,Тестувальник,місто Остер ,"шосе Липнева, буд. 382, Балта, 26222",070 135 47 93,okhrim04@example.net
Андрощук,Климент,Ігорович,male,2008-03-19,Офіс-менеджер,місто Марганець ,"площа Заводська, буд. 152 кв. 38, Прип'ять , 86555",+380 (03) 852-81-45,boryskolodub@example.net
Лубенець,Юстина,Станіславівна,female,1949-09-30,Менеджер з продукту,село Болград,"набережна Тополина, буд. 9 кв. 5, Ялта, 89933",312-42-69,okhrim31@example.net
Мазур,Віктор,Станіславович,male,1973-04-16,Асистент керівника,хутір Берестечко,"шосе Лінія 38-ма, буд. 93 кв. 76, Дебальцеве, 41683",071 643 62 72,aaron86@example.com
Архипенко,Володимир,Романович,male,1940-01-12,Менеджер з закупівель,селище Первомайський ,"парк Коблевська, буд. 47, Стебник, 70220",098 034-98-53,illia21@example.org
Гузь,Орест,Мар'янович,male,1998-12-04,Тестувальник,селище Теплодар,"сквер Амурський 4-й, буд. 057, Дніпро , 39972",669-79-58,ielysaveta37@example.org
Ісаєвич,Устим,Ігорович,male,1968-09-07,Менеджер з продажу,хутір Жмеринка,"парк 10-та Суворовська, буд. 57, Красногорівка, 76063",009 564 48 83,varfolomii11@example.net
Іваненко,Марта,Захарівна,female,1985-09-16,Офіс-менеджер,хутір Рожище,"вулиця Бахчева, буд. 73, Золоте, 80770",+380 (67) 238-50-28,gbaranets@example.com
Гоголь,Трохим,Захарович,male,1938-05-23,Менеджер з маркетингу,хутір Яворів,"провулок Морський 2-й, буд. 81, Шаргород, 70989",948 78 67,orynahodunok@example.net
Негода,Марʼяна,Євгенівна,female,1987-06-30,Аудитор,село Тетіїв,"узвіз Рульовий, буд. 047, Рожище, 90068",733 07 63,tteslia@example.com
Бабʼюк,Орися,Тарасівна,female,1965-03-01,Офіс-менеджер,місто Вишневе ,"парк Дніпропетровська дорога, буд. 8 кв. 3, Нова Одеса, 85021",+380 26 279 38 55,alina95@example.org
Павленко,Лілія,Тимофіївна,female,1992-03-07,PR-менеджер,хутір Люботин,"набережна Офіцерська, буд. 782 кв. 37, Новий Калинів, 97474",+380 32 598-41-47,okseniialytvyn@example.com
Мірошниченко,Юстим,Назарович,male,1952-08-06,Менеджер з закупівель,місто Хрустальний,"шосе Сільська, буд. 439, Здолбунів, 87320",+380 (63) 898-38-19,martyn09@example.com
Данькевич,Амалія,Олегівна,female,1963-02-21,Програміст,місто Заліщики,"площа Курортний 6-й, буд. 84, Валки , 01877",098 502-86-29,baranykmyroslav@example.net
Андрійчук,Сніжана,Борисівна,female,1951-12-30,Програміст,село Стебник,"узвіз Болградська, буд. 595 кв. 19, Камінь-Каширський, 30280",+380 51 774-69-14,bohuslava12@example.com
Гаврюшенко,Мартин,Вікторович,male,1940-01-23,Асистент керівника,селище Тростянець,"сквер Дальня, буд. 2 кв. 411, Кадіївка, 30251",004 497 85 04,halynaolifirenko@example.org
Талан,Мирон,Кирилович,male,1970-08-26,Менеджер з продажу,селище Павлоград,"сквер Пржевальського, буд. 9 кв. 806, Хоростків, 09054",+380 22 458-11-79,eonishchuk@example.net
Щорс,Аарон,Назарович,male,1976-03-02,Менеджер з продукту,село Луцьк,"шосе Сміливий, буд. 8, Зіньків, 04171",093 878 11 74,bhrechanyk@example.org
Гайденко,Тетяна,Олексіївна,female,1987-12-23,Менеджер з продукту,хутір Арциз,"площа Кавказький, буд. 94 кв. 17, Пустомити, 97044",+380 03 856-06-68,pavlo76@example.com
